   1.00   0.10 -64.76
   0.98   0.20 -64.84
   0.96   0.29 -64.94
   0.92   0.38 -65.08
   0.88   0.47 -65.24
   0.83   0.56 -65.42
   0.77   0.63 -65.63
   0.71   0.71 -65.85
   0.63   0.77 -66.10
   0.56   0.83 -66.36
   0.47   0.88 -66.63
   0.38   0.92 -66.92
   0.29   0.96 -67.22
   0.20   0.98 -67.52
   0.10   1.00 -67.83
   0.00   1.00 -68.13
  -0.10   1.00 -68.43
  -0.20   0.98 -68.73
  -0.29   0.96 -69.02
  -0.38   0.92 -69.30
  -0.47   0.88 -69.56
  -0.56   0.83 -69.80
  -0.63   0.77 -70.02
  -0.71   0.71 -70.22
  -0.77   0.63 -70.39
  -0.83   0.56 -70.54
  -0.88   0.47 -70.66
  -0.92   0.38 -70.75
  -0.96   0.29 -70.81
  -0.98   0.20 -70.84
  -1.00   0.10 -70.83
  -1.00   0.00 -70.80
  -1.00  -0.10 -70.74
  -0.98  -0.20 -70.65
  -0.96  -0.29 -70.53
  -0.92  -0.38 -70.38
  -0.88  -0.47 -70.21
  -0.83  -0.56 -70.01
  -0.77  -0.63 -69.79
  -0.71  -0.71 -69.55
  -0.63  -0.77 -69.30
  -0.56  -0.83 -69.03
  -0.47  -0.88 -68.75
  -0.38  -0.92 -68.46
  -0.29  -0.96 -68.17
  -0.20  -0.98 -67.87
  -0.10  -1.00 -67.57
   0.00  -1.00 -67.27
   0.10  -1.00 -66.98
   0.20  -0.98 -66.70
   0.29  -0.96 -66.43
   0.38  -0.92 -66.17
   0.47  -0.88 -65.92
   0.56  -0.83 -65.69
   0.63  -0.77 -65.48
   0.71  -0.71 -65.29
   0.77  -0.63 -65.13
   0.83  -0.56 -64.99
   0.88  -0.47 -64.87
   0.92  -0.38 -64.78
   0.96  -0.29 -64.72
   0.98  -0.20 -64.69
   1.00  -0.10 -64.68
   1.00   0.00 -64.71
   1.99   0.20 -57.67
   1.96   0.39 -57.85
   1.91   0.58 -58.11
   1.85   0.77 -58.45
   1.76   0.94 -58.86
   1.66   1.11 -59.34
   1.55   1.27 -59.89
   1.41   1.41 -60.50
   1.27   1.55 -61.18
   1.11   1.66 -61.91
   0.94   1.76 -62.70
   0.77   1.85 -63.53
   0.58   1.91 -64.39
   0.39   1.96 -65.29
   0.20   1.99 -66.21
   0.00   2.00 -67.14
  -0.20   1.99 -68.07
  -0.39   1.96 -69.00
