   1.00   0.10 149.42
   0.98   0.20 149.23
   0.96   0.29 149.07
   0.92   0.38 148.96
   0.88   0.47 148.89
   0.83   0.56 148.86
   0.77   0.63 148.88
   0.71   0.71 148.94
   0.63   0.77 149.04
   0.56   0.83 149.19
   0.47   0.88 149.38
   0.38   0.92 149.60
   0.29   0.96 149.87
   0.20   0.98 150.16
   0.10   1.00 150.50
   0.00   1.00 150.86
  -0.10   1.00 151.25
  -0.20   0.98 151.67
  -0.29   0.96 152.10
  -0.38   0.92 152.55
  -0.47   0.88 153.01
  -0.56   0.83 153.48
  -0.63   0.77 153.95
  -0.71   0.71 154.42
  -0.77   0.63 154.88
  -0.83   0.56 155.33
  -0.88   0.47 155.76
  -0.92   0.38 156.18
  -0.96   0.29 156.56
  -0.98   0.20 156.92
  -1.00   0.10 157.25
  -1.00   0.00 157.54
  -1.00  -0.10 157.78
  -0.98  -0.20 157.99
  -0.96  -0.29 158.15
  -0.92  -0.38 158.27
  -0.88  -0.47 158.34
  -0.83  -0.56 158.36
  -0.77  -0.63 158.33
  -0.71  -0.71 158.26
  -0.63  -0.77 158.13
  -0.56  -0.83 157.96
  -0.47  -0.88 157.75
  -0.38  -0.92 157.50
  -0.29  -0.96 157.21
  -0.20  -0.98 156.88
  -0.10  -1.00 156.53
   0.00  -1.00 156.14
   0.10  -1.00 155.73
   0.20  -0.98 155.30
   0.29  -0.96 154.86
   0.38  -0.92 154.41
   0.47  -0.88 153.95
   0.56  -0.83 153.49
   0.63  -0.77 153.03
   0.71  -0.71 152.57
   0.77  -0.63 152.13
   0.83  -0.56 151.71
   0.88  -0.47 151.30
   0.92  -0.38 150.91
   0.96  -0.29 150.55
   0.98  -0.20 150.22
   1.00  -0.10 149.92
   1.00   0.00 149.65
   1.99   0.20 138.35
   1.96   0.39 137.82
   1.91   0.58 137.39
   1.85   0.77 137.07
   1.76   0.94 136.85
   1.66   1.11 136.75
   1.55   1.27 136.76
   1.41   1.41 136.89
   1.27   1.55 137.13
   1.11   1.66 137.49
   0.94   1.76 137.97
   0.77   1.85 138.55
   0.58   1.91 139.26
   0.39   1.96 140.06
   0.20   1.99 140.97
   0.00   2.00 141.97
  -0.20   1.99 143.06
  -0.39   1.96 144.23
  -0.58   1.91 145.46
  -0.77   1.85 146.76
  -0.94   1.76 148.10
  -1.11   1.66 149.48
  -1.27   1.55 150.87
  -1.41   1.41 152.27
  -1.55   1.27 153.66
  -1.66   1.11 155.03
  -1.76   0.94 156.35
  -1.85   0.77 157.63
  -1.91   0.58 158.83
  -1.96   0.39 159.95
  -1.99   0.20 160.98
  -2.00   0.00 161.89
  -1.99  -0.20 162.69
  -1.96  -0.39 163.35
  -1.91  -0.58 163.86
  -1.85  -0.77 164.22
  -1.76  -0.94 164.43
  -1.66  -1.11 164.48
  -1.55  -1.27 164.37
  -1.41  -1.41 164.10
  -1.27  -1.55 163.68
  -1.11  -1.66 163.12
  -0.94  -1.76 162.41
  -0.77  -1.85 161.58
  -0.58  -1.91 160.63
  -0.39  -1.96 159.59
  -0.20  -1.99 158.46
   0.00  -2.00 157.26
   0.20  -1.99 156.01
   0.39  -1.96 154.72
   0.58  -1.91 153.41
   0.77  -1.85 152.08
   0.94  -1.76 150.76
   1.11  -1.66 149.44
   1.27  -1.55 148.16
   1.41  -1.41 146.90
   1.55  -1.27 145.69
   1.66  -1.11 144.53
   1.76  -0.94 143.43
   1.85  -0.77 142.38
   1.91  -0.58 141.41
   1.96  -0.39 140.52
   1.99  -0.20 139.71
   2.00   0.00 138.99
   2.99   0.29 125.79
   2.94   0.59 125.02
   2.87   0.87 124.38
   2.77   1.15 123.88
   2.65   1.41 123.53
   2.49   1.67 123.32
   2.32   1.90 123.27
   2.12   2.12 123.38
   1.90   2.32 123.66
   1.67   2.49 124.11
   1.41   2.65 124.73
   1.15   2.77 125.52
   0.87   2.87 126.49
   0.59   2.94 127.63
   0.29   2.99 128.93
   0.00   3.00 130.39
  -0.29   2.99 132.00
  -0.59   2.94 133.74
  -0.87   2.87 135.61
  -1.15   2.77 137.57
  -1.41   2.65 139.63
  -1.67   2.49 141.75
  -1.90   2.32 143.92
  -2.12   2.12 146.13
  -2.32   1.90 148.34
  -2.49   1.67 150.53
  -2.65   1.41 152.67
  -2.77   1.15 154.74
  -2.87   0.87 156.71
  -2.94   0.59 158.56
  -2.99   0.29 160.27
  -3.00   0.00 161.79
  -2.99  -0.29 163.12
  -2.94  -0.59 164.22
  -2.87  -0.87 165.09
  -2.77  -1.15 165.70
  -2.65  -1.41 166.04
  -2.49  -1.67 166.12
